ts_code,symbol,name,area,industry,fullname,enname,market,exchange_id,curr_type,list_status,list_date,delist_date,is_hs
000001.SZ,000001,平安银行,深圳,银行,平安银行股份有限公司,Ping An Bank Co., Ltd.,主板,SZSE,CNY,L,1991-04-03,,S
000002.SZ,000002,万科A,深圳,全国地产,万科企业股份有限公司,China Vanke Co.,Ltd.,主板,SZSE,CNY,L,1991-01-29,,S
000003.SZ,000003,PT金田A(退市),None,None,金田实业(集团)股份有限公司,Gintian Industry (Group) Co., Ltd.,主板,SZSE,CNY,D,1991-07-03,2002-06-14,N
000004.SZ,000004,国农科技,深圳,生物制药,深圳中国农大科技股份有限公司,Shenzhen Cau Technology Co.,Ltd.,主板,SZSE,CNY,L,1991-01-14,,N
000005.SZ,000005,世纪星源,深圳,房产服务,深圳世纪星源股份有限公司,Shenzhen Fountain Corporation,主板,SZSE,CNY,L,1990-12-10,,N
000006.SZ,000006,深振业A,深圳,区域地产,深圳市振业(集团)股份有限公司,Shenzhen Zhenye(Group) Co.,Ltd.,主板,SZSE,CNY,L,1992-04-27,,S
000007.SZ,000007,全新好,深圳,酒店餐饮,深圳市全新好股份有限公司,Shenzhen Quanxinhao Co.,Ltd,主板,SZSE,CNY,L,1992-04-13,,N
000008.SZ,000008,神州高铁,北京,运输设备,神州高铁技术股份有限公司,China High Speed Railway Technology Co., Ltd.,主板,SZSE,CNY,L,1992-05-07,,S
000009.SZ,000009,中国宝安,深圳,综合类,中国宝安集团股份有限公司,China Baoan Group Co.,Ltd.,主板,SZSE,CNY,L,1991-06-25,,S
000010.SZ,000010,美丽生态,深圳,建筑施工,深圳美丽生态股份有限公司,Shenzhen Ecobeauty Co.,Ltd.,主板,SZSE,CNY,L,1995-10-27,,N
000011.SZ,000011,深物业A,深圳,区域地产,深圳市物业发展(集团)股份有限公司,Shenzhen Properties & Resources Development (Group) Ltd.,主板,SZSE,CNY,L,1992-03-30,,S
000012.SZ,000012,南玻A,深圳,玻璃,中国南玻集团股份有限公司,CSG Holding Co.,Ltd.,主板,SZSE,CNY,L,1992-02-28,,S
000013.SZ,000013,*ST石化A(退市),None,None,深圳石化工业集团股份有限公司,Shenzhen Petrochemical Industry(Group) Co.,Ltd.,主板,SZSE,CNY,D,1992-05-06,2004-09-20,N
000014.SZ,000014,沙河股份,深圳,全国地产,沙河实业股份有限公司,Shahe Industrial Co.,Ltd.,主板,SZSE,CNY,L,1992-06-02,,N
000015.SZ,000015,PT中浩A(退市),None,None,深圳中浩(集团)股份有限公司,Shenzhen Zhonghao (Group) Company Limited,主板,SZSE,CNY,D,1992-06-25,2001-10-22,N
000016.SZ,000016,深康佳A,深圳,家用电器,康佳集团股份有限公司,Konka Group Co.,Ltd,主板,SZSE,CNY,L,1992-03-27,,S
000017.SZ,000017,深中华A,深圳,文教休闲,深圳中华自行车(集团)股份有限公司,Shenzhen China Bicycle Company (Holdings) Limited,主板,SZSE,CNY,L,1992-03-31,,N
000018.SZ,000018,神州长城,深圳,装修装饰,神州长城股份有限公司,Sino Great Wall Co., Ltd.,主板,SZSE,CNY,L,1992-06-16,,N
000019.SZ,000019,深深宝A,深圳,软饮料,深圳市深宝实业股份有限公司,Shenzhen Shenbao Industrial Co.,Ltd,主板,SZSE,CNY,L,1992-10-12,,N
000020.SZ,000020,深华发A,深圳,元器件,深圳中恒华发股份有限公司,Shenzhen Zhongheng Huafa Co.,Ltd.,主板,SZSE,CNY,L,1992-04-28,,N
000021.SZ,000021,深科技,深圳,电脑设备,深圳长城开发科技股份有限公司,Shenzhen Kaifa Technology Co., Ltd.,主板,SZSE,CNY,L,1994-02-02,,S
000022.SZ,000022,深赤湾A,深圳,港口,深圳赤湾港航股份有限公司,Shenzhen Chiwan Wharf Holdings Limited,主板,SZSE,CNY,L,1993-05-05,,S
000023.SZ,000023,深天地A,深圳,其他建材,深圳市天地(集团)股份有限公司,Shenzhen Universe (Group) Co.,Ltd,主板,SZSE,CNY,L,1993-04-29,,N
